Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LINK_R4,-0.111706915749733,0.00355722916941977,0.0512342020264392,0,0,0,8.60704942954802,0.0274095605302757,-0.00545320862710574,-0.000200202399919482,0.168527364558603,-4.61122421921428E-07,0.165684270845229,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R4.STL,,R_LINK4-1,coord_R4,AXIS_R4,JOINT_R4,revolute,-0.0516,-0.005,0.237,0,1.5708,0,LINK_R3,0,0,1,0,0,0,0,,,,,,,,
LINK_R5,6.626555804079E-08,0.00426165224182175,0.0516144830002066,0,0,0,4.14002049181103,0.00859902728227488,2.24153874992742E-09,-8.53395935267242E-07,0.00802808945618975,2.25086689585563E-06,0.00870709893603947,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R5.STL,,R_LINK5-1,coord_R5,AXIS_R5,JOINT_R5,revolute,-0.37,-0.005,0,0,0,0,LINK_R4,0,0,1,0,0,0,0,,,,,,,,
LINK_R6,5.58138622626381E-06,0.0507733541183104,-0.0331828582582943,0,0,0,4.46370359699783,0.0280531352513672,-5.78596856192022E-07,7.74224976384728E-07,0.0225586719627204,-0.00350808781584849,0.0150950458468419,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R6.STL,,R_LINK6-1,coord_R6,AXIS_R6,JOINT_R6,revolute,0,0.0725,0.0516,1.5708,-1.5708,0,LINK_R5,0,0,1,0,0,0,0,,,,,,,,
BODY_LINK,0.00013734007639013,-0.0111829713535279,0.265745363752393,0,0,0,33.7486973436404,0.722787001654969,-4.25713904554049E-05,-0.00139461702876621,0.892302471227267,-0.0285817730855974,0.348911176678323,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/BODY_LINK.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/BODY_LINK.STL,,BODY-1;双臂3-1/link1-1;双臂-右-1/link1-1,coord_body,body,BODY_JOINT,revolute,0,0,0.104,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
arm-l1,-2.46089330410704E-06,-2.84970787856054E-07,0.164287024146874,0,0,0,1.49079078470917,0.00305951889689234,1.23224145484232E-07,4.7234806846658E-08,0.00378376232211114,-3.76862388057772E-08,0.00212531859055584,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l1.STL,,双臂3-1/link-2-1,arm-lc1,arm-l1,arm-lj1,revolute,-0.06,0,0.4302,1.5708,0,-1.5708,BODY_LINK,0,0,1,0,0,0,0,,,,,,,,
arm-l2,1.7109844037938E-05,-0.0452985718637721,-0.000762954989173337,0,0,0,2.70256303290924,0.00984922869542074,3.34426654213901E-06,1.15726850653024E-09,0.00588632041233297,9.35439353884173E-05,0.00747853188064791,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l2.STL,,双臂3-1/link-3-1,arm-lc2,arm-l2,arm-lj2,revolute,0,0,0.2075,-1.5708,0,0,arm-l1,0,0,1,0,0,0,0,,,,,,,,
arm-l3,-0.00699744559038216,-0.000446274066820407,0.236701003976312,0,0,0,3.54789151265847,0.0185299009076935,1.22432465180445E-06,0.000124494468855343,0.0186988857026103,-1.68802472982149E-05,0.00375500734997881,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l3.STL,,双臂3-1/link-4-1,arm-lc3,arm-l3,arm-lj3,revolute,0,0,0,-1.5708,0,-3.1416,arm-l2,0,0,1,0,0,0,0,,,,,,,,
arm-l4,0.00464516953010592,-0.0316039283529114,0.000428142213802829,0,0,0,1.47374287378551,0.00379329555273283,0.000160245369673316,2.06610249481922E-07,0.00225584846210298,8.03453868461583E-06,0.00281134624088121,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l4.STL,,双臂3-1/link-5-2,arm-lc4,arm-l4,arm-lj4,revolute,0.00040027,0,0.33028,-1.5708,0,3.1416,arm-l3,0,0,1,0,0,0,0,,,,,,,,
arm-l5,-2.28024774949487E-06,0.00408004171070475,0.183530036849259,0,0,0,2.28087734206239,0.00549251858394413,1.60017198738006E-07,1.71172962810271E-07,0.00557865414731656,-0.00038426086153489,0.00195901367824945,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l5.STL,,双臂3-1/link-6-1,arm-lc5,arm-l5,arm-lj5,revolute,0,0,0,-1.5708,0,3.1416,arm-l4,0,0,1,0,0,0,0,,,,,,,,
arm-l6,-2.14081846389158E-07,-0.0803636128317545,0.00616002744150357,0,0,0,1.58792603771551,0.00366000115507612,2.25894931082097E-08,7.18926190526462E-09,0.00142870340307534,-0.000705165358365624,0.00347714999503412,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l6.STL,,双臂3-1/link-7-1,arm-lc6,arm-l6,arm-lj6,revolute,0,0,0.23494,-1.5708,0,-3.1416,arm-l5,0,0,1,0,0,0,0,,,,,,,,
arm-l7,2.69436503518017E-07,-2.95979202020735E-05,0.164217274875879,0,0,0,0.634983447813082,0.000369700889597726,-7.65481275286183E-20,-1.05007339976448E-17,0.000370207331921778,4.29757109352668E-07,0.000512144748392785,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l7.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-l7.STL,,双臂3-1/link-9-1,arm-lc7,arm-l7,arm-lj7,revolute,0,0,0,1.5708,0,0,arm-l6,0,0,1,0,0,0,0,,,,,,,,
arm-lt,5.55111512312578E-17,6.03031846679869E-10,-0.00099999999999989,0,0,0,0.00155862265526229,9.7178498990338E-08,4.26142661000391E-27,-7.09361850234105E-21,9.71784989903729E-08,-5.79751342725907E-14,1.93317916210466E-07,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-lt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-lt.STL,,双臂3-1/link-t-1,arm-lct,arm-l7,arm-ljt,fixed,0,0,0.19077,0,0,0,arm-l7,0,0,0,,,,,,,,,,,,
arm-r1,2.46089331307903E-06,2.84970779862448E-07,0.16428702414733,0,0,0,1.4907907847092,0.00305951889689245,1.23224145462198E-07,-4.72348068440876E-08,0.00378376232211126,3.76862386712988E-08,0.00212531859055588,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r1.STL,,双臂-右-1/link-2-1,arm-rc1,arm-r1,arm-rj1,revolute,0.06,0,0.4302,1.5708,0,1.5708,BODY_LINK,0,0,1,0,0,0,0,,,,,,,,
arm-r2,1.7109844001835E-05,-0.0452985718642643,-0.000762954989178555,0,0,0,2.70256303290934,0.0098492286954209,3.34426654176547E-06,1.15726845506335E-09,0.0058863204123332,9.35439353883321E-05,0.00747853188064819,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r2.STL,,双臂-右-1/link-3-1,arm-rc2,arm-r2,arm-rj2,revolute,0,0,0.2075,-1.5708,0,3.1416,arm-r1,0,0,1,0,0,0,0,,,,,,,,
arm-r3,0.00699744558994671,0.000445736586063172,0.236701004986568,0,0,0,3.54789151268406,0.0185299009074185,1.22460738296824E-06,-0.000124494466263207,0.0186988856256308,1.69141808217164E-05,0.00375500742679508,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r3.STL,,双臂-右-1/link-4-1,arm-rc3,arm-r3,arm-rj3,revolute,0,0,0,1.5708,0,0,arm-r2,0,0,1,0,0,0,0,,,,,,,,
arm-r4,0.00464517591591148,-0.0316040840757925,0.000428238492313104,0,0,0,1.47374201793622,0.00379329094146422,0.000160244415781904,2.07234499079314E-07,0.00225584681208052,8.03201567915385E-06,0.00281134306624416,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r4.STL,,双臂-右-1/link-5-2,arm-rc4,arm-r4,arm-rj4,revolute,-0.00040027,0,0.33028,-1.5708,0,0,arm-r3,0,0,1,0,0,0,0,,,,,,,,
arm-r5,-2.73577081470744E-06,0.00407883931490616,0.183529506912868,0,0,0,2.28081200666416,0.00549240002759694,2.02933287543883E-07,1.92989658554136E-07,0.00557858764336004,-0.0003841922444168,0.00195892105469368,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r5.STL,,双臂-右-1/link-6-1,arm-rc5,arm-r5,arm-rj5,revolute,0,0,0,1.5708,0,0,arm-r4,0,0,1,0,0,0,0,,,,,,,,
arm-r6,-2.14082035737695E-07,-0.080363595139343,0.00615553189983786,0,0,0,1.5879260377349,0.00366000115518685,2.25895321396928E-08,7.18919548911259E-09,0.0014286993501888,-0.000705159471653687,0.00347715404809764,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r6.STL,,双臂-右-1/link-7-1,arm-rc6,arm-r6,arm-rj6,revolute,0,0,0.23494,-1.5708,0,-3.1416,arm-r5,0,0,1,0,0,0,0,,,,,,,,
arm-r7,2.69436562498615E-07,-3.38524873837454E-05,0.164217274971439,0,0,0,0.63498344781308,0.000369700889597724,1.28085815926539E-19,4.05201352102206E-17,0.000370207334392976,4.30165001831703E-07,0.000512144745921583,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r7.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-r7.STL,,双臂-右-1/link-9-1,arm-rc7,arm-r7,arm-rj7,revolute,0,0,0,1.5708,0,0,arm-r6,0,0,1,0,0,0,0,,,,,,,,
arm-rt,-2.0122792321331E-16,-2.27071683678304E-09,-0.000999999999998558,0,0,0,0.0015586226552622,9.71784989903325E-08,6.21085967898607E-26,2.73548136781045E-20,9.71784989908281E-08,2.18305404600831E-13,1.93317916209994E-07,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-rt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/arm-rt.STL,,双臂-右-1/link-t-1,arm-rct,arm-r7,ram-rjt,fixed,0,0,0.19077,0,0,0,arm-r7,0,0,0,,,,,,,,,,,,
