frame,timestamp,posX,posY,posZ,roll,pitch,yaw,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
1.0,4.19481086730957,-0.17131486209862284,0.7001457329440821,1.0062105176183127,0.017724289962225106,-0.058420478143014265,-1.5709457476630053,-0.428206204206495,-0.13528356480287107,0.025939758429123414,0.9641786955420535,-0.5337650906705793,0.15066411755565992,-0.3828957204287863,0.2843330268733714,0.18646731211871592,0.9621859016022691,-0.22694786497799896,-0.022550114813939467,-0.038918253804586536,0.024872328924086688,-0.0076684308614605075,-0.10938174166286721,0.01888666586353803,-0.04446189006848268,0.9125723916680061,0.19004771759271732,0.7337618589541175,0.32249256859116104,-0.026117426508170727,-0.13651325803375947,0.14515303514309713,0.8510618596146755,-0.41062967500632064,-0.41638296171506434,-0.6389324937776484
2.0,4.31513524055481,-0.17131488138039444,0.7001457595193559,1.0062105976645324,0.01772410652716035,-0.058420585085476595,-1.5709457547195202,-0.42820577515111174,-0.13528362893577817,0.025939758879068676,0.9641780559592992,-0.5337646987526371,0.1506640772589884,-0.38289534794200036,0.2843328957455122,0.18646742656903134,0.9621854279353849,-0.22694755879356782,-0.022550102536353516,-0.038918477859331314,0.02487242073158468,-0.0076687038508712075,-0.10938443175584953,0.01889910218189933,-0.04449433090335328,0.9125778436202088,0.19000381481657086,0.733760917307041,0.32250699040611464,-0.026121597803917332,-0.13653066655688273,0.14519862889401847,0.851064395339999,-0.4105908041962686,-0.4163765033609887,-0.6389499130669323
3.0,4.389893531799316,-0.17189310644441258,0.6998975889133838,1.0060498466997134,0.017453223369667096,-0.05872554503946068,-1.5710553269052112,-0.4285004757641447,-0.13478078976783936,0.02654420055797979,0.9655806774158673,-0.5335073060933098,0.15043792136185105,-0.38266840676559644,0.28499461651316904,0.18672741179864785,0.962788925756838,-0.22660623082317188,-0.021830559702201616,-0.038404252385299556,0.025489420926763547,-0.00760787020147947,-0.10793250942989802,0.01736159785540707,-0.045011967671396674,0.9126604085609781,0.1900362703439165,0.7338380434785136,0.3229376730824278,-0.024894108346561507,-0.13294378959255973,0.1452808463494071,0.8528329439309954,-0.40952117943060157,-0.4154186784859198,-0.6400877875439779
4.0,4.451701402664185,-0.17290682153999384,0.6994405689325761,1.0057666374911096,0.017496709460841534,-0.059308795861431285,-1.5711582855177784,-0.42957962847909603,-0.13400748976454846,0.02764322246901183,0.9683765283416557,-0.5333741367706066,0.150228257520636,-0.38275345427630225,0.28609266382861526,0.18710000442984154,0.9640541348767124,-0.22640329578872137,-0.020685506694574606,-0.03771907303320078,0.026485348906401807,-0.007978534957748449,-0.10639580219805725,0.014824596808867791,-0.04528503449398397,0.9127978835644543,0.18997816646463156,0.7343204384719302,0.3245043586026843,-0.023927192112921138,-0.1270227420999734,0.1458477368500797,0.8559627316525519,-0.4081783297948962,-0.41413718237442654,-0.6417870461032076
5.0,4.568689584732056,-0.17505889418224624,0.6984503164095395,1.005147900506198,0.0183065822105344,-0.06051230809043109,-1.5710376744696664,-0.4328381611137553,-0.13250419601880414,0.029942403295705793,0.9750843957699837,-0.5334520238433375,0.1501777528780086,-0.3836894775700599,0.2882484297066712,0.1874868388310868,0.9668669913641599,-0.22659508705088438,-0.018417232153035118,-0.037141990844836145,0.029030143795018247,-0.009249991933683917,-0.10378648482495469,0.009668034464171152,-0.044894313527692783,0.9128590379173986,0.1894675897098063,0.7362620753180702,0.32857411214339866,-0.023172506351659128,-0.11505818040809107,0.1480961516438664,0.8634122864507621,-0.4064208730027018,-0.41196500156155896,-0.6451912667563573
6.0,4.641017436981201,-0.17604676736956182,0.6979806012834732,1.0048417306433157,0.01895115645199561,-0.06105655957856368,-1.5707165149407536,-0.4348514348195266,-0.13185764991164972,0.03104097737491282,0.9787668799634734,-0.5336446122709202,0.15041467415512969,-0.3844117978719107,0.28911140156617576,0.1874033768584545,0.9682255650802156,-0.22701920202570733,-0.017475964139374602,-0.03739453952509381,0.030311897721348548,-0.010052262814611017,-0.10290357705634133,0.007325063790217462,-0.04436053023298503,0.912809092662569,0.18908698340085717,0.7375086956429067,0.33075578167277253,-0.02335948349727771,-0.11003108296949024,0.14955514380819596,0.8671732697978368,-0.40607302246867477,-0.4114360622100867,-0.6466691231930359
7.0,4.733173847198486,-0.1782659981422412,0.6969000024805423,1.0040745296543818,0.020633232649897273,-0.06215687559782111,-1.569219739993588,-0.4406785746396009,-0.13000113834911042,0.0340555483565804,0.9890928314673151,-0.5342971076880969,0.1515776288843363,-0.3864137535639669,0.2907878370658803,0.18647892334564847,0.9714213240742652,-0.2285987166023383,-0.015539967259502494,-0.03925779735466961,0.033135317418961974,-0.012448110869918438,-0.10091376316262282,0.0016650981259621347,-0.04294428220764616,0.9124617574727174,0.1880926191268461,0.7407791482214827,0.33612157346284416,-0.024496682503771697,-0.10002121591264566,0.1534266832352165,0.8770827182910963,-0.40571976901589224,-0.4117584058368057,-0.6502363632437791
8.0,4.8131701946258545,-0.17962695225735736,0.696222264922947,1.0035633511603863,0.021721558346596566,-0.06284762568082525,-1.5676385144664025,-0.44522744825906846,-0.1281764825320983,0.03703825609259324,0.9971493834493069,-0.5346495092797487,0.15284294577589597,-0.3876062253542527,0.29148934937396676,0.18546830726887803,0.9733691483222424,-0.23006544834487735,-0.014552175759152164,-0.041165702286891495,0.03441166083736759,-0.014326017249158357,-0.0999519216865419,-0.002314301585233206,-0.04238579638573485,0.9122914631255382,0.18770416626228897,0.7429803400166313,0.3398467471067783,-0.02559847212156538,-0.09541209430023034,0.15600237015266738,0.8840238618656215,-0.4055283805822363,-0.4134327048931291,-0.6527723097054644
9.0,4.89124608039856,-0.18070275993578488,0.6956650743228339,1.0031825069452935,0.022387779492425812,-0.06362299622399643,-1.5661450355377906,-0.4488118533353097,-0.12655451041193533,0.040191606640110636,1.0037979821292229,-0.5346881485891316,0.15406671777992417,-0.38810083632313486,0.29174841539013563,0.1847786439958535,0.9747514497755638,-0.23145112456751665,-0.01389276380261715,-0.042645036214917935,0.035166776626155485,-0.015492602111924101,-0.09976635797741354,-0.005697316311721998,-0.0423616783413162,0.9127949646000058,0.1877027124628166,0.7444868610804174,0.3428814328873524,-0.02588534157658081,-0.09261089942508449,0.15776023839532594,0.8882582102417629,-0.40562758028118967,-0.4147457105251305,-0.6547609848352336
10.0,4.976426601409912,-0.1820254318400204,0.694958237236554,1.0027313497594772,0.02309651132274427,-0.06466086762851539,-1.5641731093305038,-0.4534373952591001,-0.12443103128434782,0.0446828837553854,1.012503582656127,-0.5349298809214245,0.1558012450966702,-0.38840167995925057,0.29195850550047764,0.18408630455235492,0.9763170810281513,-0.23337030414415394,-0.013115839196863044,-0.04440693240679794,0.03617417965929867,-0.016699911807299544,-0.09999547725854026,-0.010143746084942788,-0.042519290397000906,0.9139953864770082,0.18794155968981902,0.7464470745859313,0.3470859423149055,-0.02572818619332759,-0.08982719989844559,0.15973201571231685,0.8925971917096114,-0.40610761455144273,-0.4161591502887413,-0.6572932458397345
